Ticker,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,Date added,CIK,Founded,Business_description,Greeness
ALLE,Allegion,Industrials,Building Products,"New York City, New York",2013-12-02,1579241,1908,">Item 1.    BUSINESSOverviewAllegion plc (""Allegion,"" ""we,"" ""us"" or ""the Company"") is a leading global provider of security products and solutions that keeps people and assets safe and secure in the places where they reside, work and thrive. We create peace of mind by pioneering safety and security with a vision of seamless access and a safer world. We offer an extensive and versatile portfolio of mechanical and electronic security products across a range of market-leading brands. Our experts across the globe deliver high-quality security products, services and systems, and we use our deep expertise to serve as trusted partners to end-users who seek customized solutions to their security needs. ",0.0
LNT,Alliant Energy,Utilities,Electric Utilities,"Madison, Wisconsin",2016-07-01,352541,1917,">ITEM 1. BUSINESSA. GENERALAlliant Energy was incorporated in Wisconsin in 1981 and maintains its principal executive offices in Madison, Wisconsin.  Alliant Energy operates as a regulated investor-owned public utility holding company.  Alliant Energy’s primary focus is to provide regulated electric and natural gas service to approximately 970,000 electric and approximately 420,000 natural gas customers in the Midwest through its two public utility subsidiaries, IPL and WPL.  The primary first tier wholly-owned subsidiaries of Alliant Energy are as follows:1) IPL - was incorporated in 1925 in Iowa as Iowa Railway and Light Corporation.  IPL is a public utility engaged principally in the generation and distribution ",0.0
ALL,Allstate,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",1995-07-13,899051,1931,">Item 1. BusinessForward-Looking StatementsThis report contains “forward-looking statements” that anticipate results based on our estimates, assumptions and plans that are subject to uncertainty.  These statements are made subject to the safe-harbor provisions of the Private Securities Litigation Reform Act of 1995.  Forward-looking statements do not relate strictly to historical or current facts and may be identified by their use of words like “plans,” “seeks,” “expects,” “will,” “should,” “anticipates,” “estimates,” “intends,” “believes,” “likely,” “targets” and other words with similar meanings.  These statements may address, among other things, our strategy for growth, catastrophe exposure management, product development, investment results, regulatory approvals, market position, expenses, financial results, litigation and reserves.  We believe that these statements are based on reasonable estimates, assumptions and plans.  Forward-looking statements speak only as",0.0
GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,"Mountain View, California",2014-04-03,1652044,1998,">ITEM 1.BUSINESSOverviewAs our founders Larry and Sergey wrote in the original founders' letter, ""Google is not a conventional company. We do not intend to become one."" That unconventional spirit has been a driving force throughout our history — inspiring us to do things like tackling deep computer science problems, such as our investments in artificial intelligence (AI) and quantum computing.Alphabet is a collection of businesses — the largest of which is Google. We report all non-Google businesses collectively as Other Bets. Our Other Bets include earlier stage technologies that are further afield from our core Google business. We take a long term view and manage the portfolio of Other Bets with ",0.0
GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,"Mountain View, California",2006-04-03,1652044,1998,">ITEM 1.BUSINESSOverviewAs our founders Larry and Sergey wrote in the original founders' letter, ""Google is not a conventional company. We do not intend to become one."" That unconventional spirit has been a driving force throughout our history — inspiring us to do things like tackling deep computer science problems, such as our investments in artificial intelligence (AI) and quantum computing.Alphabet is a collection of businesses — the largest of which is Google. We report all non-Google businesses collectively as Other Bets. Our Other Bets include earlier stage technologies that are further afield from our core Google business. We take a long term view and manage the portfolio of Other Bets with ",0.0
MO,Altria,Consumer Staples,Tobacco,"Richmond, Virginia",1957-03-04,764180,1985,">Item 1.  Business.General Development of Business ▪General:  Altria Group, Inc. (“Altria”) is a holding company incorporated in the Commonwealth of Virginia in 1985.  At December 31, 2019, Altria’s wholly-owned subsidiaries included Philip Morris USA Inc. (“PM USA”), which is engaged in the manufacture and sale of cigarettes in the United States; John Middleton Co. (“Middleton”), which is engaged in the manufacture and sale of machine-made large cigars and pipe tobacco and is a wholly-owned subsidiary of PM USA; Sherman Group Holdings, LLC and its subsidiaries (“Nat Sherman”), which are engaged in the manufacture and sale of super premium cigarettes and the sale of premium cigars; UST LLC (“UST”), which through its wholly-owned subsidiaries, including U.S. Smokeless To",0.0
AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",2005-11-18,1018724,1994,">Item 1.BusinessThis Annual Report on Form 10-K and the documents incorporated herein by reference contain forward-looking statements based on expectations, estimates, and projections as of the date of this filing. Actual results may differ materially from those expressed in forward-looking statements. See Item 1A of Part I — “Risk Factors.”Amazon.com, Inc. was incorporated in 1994 in the state of Washington and reincorporated in 1996 in the state of Delaware. Our principal corporate offices are located in Seattle, Washington. We completed our initial public offering in May 1997 and our common stock is listed on the Nasdaq Global Select Market under the symbol “AMZN.”As used herein, “Amazon.com,” “we,”",0.0
AMCR,Amcor,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",2019-06-07,1748790,2019 (1860),">Item 1. - BusinessThe Company         Amcor plc (ARBN 630 385 278) is a holding company originally incorporated under the name Arctic Jersey Limited as a limited company under the Laws of the Bailiwick of Jersey in July 2018, in order to effect the Company's combination with Bemis Company, Inc. On October 10, 2018, Arctic Jersey Limited was renamed ""Amcor plc"" and became a public limited company incorporated under the Laws of the Bailiwick of Jersey.Bemis Company, Inc. Merger        On June 11, 2019, we completed the acquisition of Bemis Company, Inc. (""Bemis""), a global manufacturer of flexible ",0.0
AMD,AMD,Information Technology,Semiconductors,"Santa Clara, California",2017-03-20,2488,1969,">ITEM 1.    BUSINESS Cautionary Statement Regarding Forward-Looking Statements The statements in this report include forward-looking statements within the meaning of the Private Securities Litigation Reform Act of 1995. These forward-looking statements are based on current expectations and beliefs and involve numerous risks and uncertainties that could cause actual results to differ materially from expectations. These forward-looking statements speak only as of the date hereof or as of the dates indicated in the statements and should not be relied upon as predictions of future events, as we cannot assure you that the events or circumstances reflected in these statements will be achieved or will occur. You can identify forward-looking statements by the use of forward-looking terminology including “believes,” “expects,” “may,” “will,” “should,” “seeks,” “intends,” “plans,” “pro forma,” “estimates,",0.0
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",1991-09-19,1002910,1902,">ITEM 1. BUSINESSGENERALAmeren, formed in 1997 and headquartered in St. Louis, Missouri, is a public utility holding company whose primary assets are its equity interests in its subsidiaries. Ameren’s subsidiaries are separate, independent legal entities with separate businesses, assets, and liabilities. Dividends on Ameren’s common stock and the payment of expenses by Ameren depend on distributions made to it by its subsidiaries.Below is a summary description of Ameren’s principal subsidiaries – Ameren Missouri, Ameren Illinois, and ATXI. Ameren also has other subsidiaries that con",0.0
AAL,American Airlines Group,Industrials,Airlines,"Fort Worth, Texas",2015-03-23,6201,1934,">ITEM 1.  BUSINESSOverviewAmerican Airlines Group Inc. (AAG), a Delaware corporation, is a holding company and its principal, wholly-owned subsidiaries are American Airlines, Inc. (American), Envoy Aviation Group Inc. (Envoy), PSA Airlines, Inc. (PSA) and Piedmont Airlines, Inc. (Piedmont). AAG was formed in 1982 under the name AMR Corporation (AMR) as the parent company of American, which was founded in 1934. AAG’s and American’s principal executive offices are located at 1 Skyview Drive, Fort Worth, Texas 76155 and their telephone number is 817-963-1234.Airline OperationsOur primary business activity is the operation of a major network carrier, providing scheduled air transportation for passengers and cargo.",0.0
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",1957-03-04,4904,1906,">ITEM 1.   BUSINESSGENERALOverview and Description of Major SubsidiariesAEP was incorporated under the laws of the State of New York in 1906 and reorganized in 1925.  It is a public utility holding company that owns, directly or indirectly, all of the outstanding common stock of its public utility subsidiaries and varying percentages of other subsidiaries.The service areas of AEP’s public utility su",0.0
AXP,American Express,Financials,Consumer Finance,"New York City, New York",1976-06-30,4962,1850,">ITEM 1. BUSINESSOverviewAmerican Express is a globally integrated payments company that provides customers with access to products, insights and experiences that enrich lives and build business success. We are a leader in providing credit and charge cards to consumers, small businesses, mid-sized companies and large corporations around the world. American Express® cards issued by American Express as well as by third-party banks and other institutions on the American Express network permit Card Members to charge purchases of goods and services at the mi",0.0
AIG,American International Group,Financials,Property & Casualty Insurance,"New York City, New York",1980-03-31,5272,1919,">ITEM 1 | Business As a result, in order to adapt to and be prepared ahead of Brexit, on December 1, 2018, we completed a reorganization of our operations and legal entity structure in the UK and the EU through the establishment of a new European subsidiary in Luxembourg, AIG Europe S.A. (AESA), which has branches across the EEA and Switzerland, and a new UK subsidiary, AIG UK. Business written by AEL’s branches in the remaining EEA countries was transferred to AESA, along with business previously written on a Freedom of Services basis from AEL’s UK operations. The remaining business written by AEL’s UK operations was transferred to AIG UK and AEL was merged into AESA, allowing AIG to operate in both the EEA and UK on a standalone basis.This ",0.0
AMT,American Tower,Real Estate,Specialized REITs,"Boston, Massachusetts",2007-11-19,1053507,1995,">ITEM 1.BUSINESSOverviewWe are one of the largest global real estate investment trusts and a leading independent owner, operator and developer of multitenant communications real estate. Our primary business is the leasing of space on communications sites to wireless service providers, radio and television broadcast companies, wireless data providers, government agencies and municipalities and tenants in a number of other industries. We refer to this business as our property operations, which accounted for 98% of our total revenues for the year ended December 31, 2019. We also offer tower-related services in the United States, which we refer to as our services oper",0.0
AWK,American Water Works,Utilities,Water Utilities,"Camden, New Jersey",2016-03-04,1410636,1886,">ITEM 1.BUSINESSThe CompanyWith a history dating back to 1886, American Water is the largest and most geographically diverse, publicly-traded water and wastewater utility company in the United States, as measured by both operating revenues and population served. A holding company originally incorporated in Delaware in 1936, the Company employs approximately 6,800 professionals who provide drinking water, wastewater and other related services to approximately 15 million peop",0.5102867484092712
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",2005-10-03,820027,1894,">Item 1.  Business OverviewAmeriprise is a diversified financial services company with a 125-year history of providing solutions to help clients confidently achieve their financial objectives. Ameriprise Financial, Inc. is a holding company incorporated in Delaware that primarily engages in business through its subsidiaries. Accordingly, references to “Ameriprise,” “Ameriprise Financial,” the “Company,” “we,” “us,” and “our” may refer to Ameriprise Financial, Inc. exclusively, to our entire family of companies, or to one or more of our subsidiaries. Our headquarters is located at 55 Ameriprise Financial Center, Minneapolis, Minnesota 55474. We also maintain executive offices in New York City.We are a long-standing leader in financial planning and ",0.0
ABC,AmerisourceBergen,Health Care,Health Care Distributors,"Conshohocken, Pennsylvania",2001-08-30,1140859,1985,">ITEM 1.    BUSINESSAs used herein, the terms ""Company,"" ""AmerisourceBergen,"" ""we,"" ""us,"" or ""our"" refer to AmerisourceBergen Corporation, a Delaware corporation.    AmerisourceBergen is one of the largest global pharmaceutical sourcing and distribution services companies, helping both healthcare providers and pharmaceutical and biotech manufacturers improve patient access to products and enhance patient care. We deliver innovative programs and services designed to increase the effectiveness and efficiency of the pharmaceutical supply chain in both human and animal health. More specifically, we distribute a comprehensive offering of brand-name, specialty brand-name, and generic pharmaceuticals, over-the-counter healthcare products, home healthcare supplies and equipment, and related services to a wide variety of healthcare providers located in the United States and select global markets, including acute care hospitals and health s",0.0
AME,Ametek,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",2013-09-23,1037868,1930,">Item 1. 
Business     General Development of Business  AMETEK, Inc. (“AMETEK” or the “Company”) is incorporated in Delaware. Its predecessor was originally incorporated in Delaware in 1930 under the name American Machine and Metals, Inc. AMETEK is a leading global manufacturer of electronic instruments and electromechanical devices with operations in North America, Europe, Asia and South America. AMETEK maintains its principal executive offices in suburban Philadelphia at",0.0
AMGN,Amgen,Health Care,Biotechnology,"Thousand Oaks, California",1992-01-02,318154,1980,">Item 1.BUSINESSAmgen Inc. (including its subsidiaries, referred to as “Amgen,” “the Company,” “we,” “our” or “us”) is committed to unlocking the potential of biology for patients suffering from serious illnesses by discovering, developing, manufacturing and delivering innovative human therapeutics. This approach begins by using tools like advanced human genetics to unravel the complexities of disease and understand the fundamentals of human biology.Amgen focuses on areas of high unmet medical need and leverages its expertise to strive for solutions that improve health outcomes and dramatically improve people’s lives. A biotechnology pioneer, Amgen has grown to be one of the world’s leading independent biotechnology companies, has reached millions of patients around the world and is developing a pipeline of medicines wi",0.0
APH,Amphenol,Information Technology,Electronic Components,"Wallingford, Connecticut",2008-09-30,820313,1932,">Item 1. Business​General​Amphenol Corporation (together with its subsidiaries, “Amphenol”, the “Company”, “we”, “our”, or “us”) is one of the world’s largest designers, manufacturers and marketers of electrical, electronic and fiber optic connectors and interconnect systems, antennas, sensors and sensor-based products and coaxial and high-speed specialty cable. The Company estimates, based on reports of industry analysts, that worldwide sales of interconnect and sensor-related products were approximately $175 billion in 2019.  ​Certain predecessor businesses of the Company were founded in 1932 and the Company was incorporated under the laws of the State of Delaware in 1986.  Th",0.0
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",1999-10-12,6281,1965,"ITEM 1.    BUSINESSCompany Overview, Strategy and MissionAnalog Devices, Inc. (we, Analog Devices or the Company) is a leading global high-performance analog technology company dedicated to solving our customers' most complex engineering challenges. We play a critical role at the intersection of the physical and digital world by providing the building blocks to sense, measure, interpret, connect and power. We design, manufacture, test and market a broad portfolio of solutions, including integrated circuits (ICs), software and subsystems that leverage high-performance analog, mixed-signal and digital signal processing technologies. Our comprehensive product portfolio, deep domain expertise and advanced manufacturing capabilities extend across high-performance precision and high-speed mixed-signal, power management and processing technologies – including data converters, amplifiers, power management, radio frequency (RF) ICs, digital signal processors (DSP) and other sensors.",0.0
ANSS,Ansys,Information Technology,Application Software,"Canonsburg, Pennsylvania",2017-06-19,1013462,1969,">ITEM 1.BUSINESSANSYS, Inc. (Ansys, we, us, our), a Delaware corporation formed in 1994, develops and globally markets engineering simulation software and services widely used by engineers, designers, researchers and students across a broad spectrum of industries and academia, including aerospace and defense, automotive, electronics, semiconductors, energy, materials and chemical processing, turbomachinery, consumer products, healthcare, and sports. Headquartered south of Pittsburgh, Pennsylvania, we employed approximately 4,100 people as of December 31, 2019. We focus on the development of open and flexible solutions that enable users to analyze designs directly on the desktop, providing a common platform for fast, efficient and cost-conscious product development, from design concept to final-stage testing and validat",0.0
AON,Aon,Financials,Insurance Brokers,"London, UK",1996-04-23,315293,1982 (1919),">Item 1.    BusinessOVERVIEWAon plc (which may be referred to as “Aon,” the “Company,” “we,” “us,” or “our”) is a leading global professional services firm that provides advice and solutions to clients focused on risk, retirement, and health, delivering distinctive client value via innovative and effective risk management and workforce productivity solutions that are under-pinned by industry-leading data and analytics. Our strategy is to be the preeminent professional services firm in the world, focused on risk and people. Our clients are globally diversified and include all market segments (individuals through personal lines, mid-market companies, and large global companies) and almost every industry in over 120 countries and sovereignties. This diversification of our customer base helps provide us stability in different economic scenarios that could affect specifi",0.0
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",1982-11-30,320193,1977,">Item 1.    BusinessCompany BackgroundThe Company designs, manufactures and markets smartphones, personal computers, tablets, wearables and accessories, and sells a variety of related services. The Company’s fiscal year is the 52- or 53-week period that ends on the last Saturday of September. The Company is a California corporation established in 1977.ProductsiPhoneiPhone®",0.0
APTV,Aptiv,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",2012-12-24,1521332,1994,">ITEM 1. BUSINESS“Aptiv,” the “Company,” “we,” “us” and “our” refer to Aptiv PLC, a public limited company formed under the laws of Jersey on May 19, 2011 as Delphi Automotive PLC, which, through its subsidiaries, acquired certain assets of the former Delphi Corporation (now known as DPH Holdings Corp. (“DPHH”)) and completed an initial public offering on November 22, 2011. On December 4, 2017 (the “Distribution Date”), the Company completed the separation (the “Separation”) of its former Powertrain Systems segment by distributing to Aptiv shareholders on a pro rata basis all of the issued and outstanding ordinary shares of Delphi Technologies PLC (“Delphi Technologies”), a public limited company formed to hold the spun-off business. To effect the Separation, the Company distributed to its shareholders one ordinary share of Delphi Technologies for every three Aptiv ordinary shares outstanding as of November 22, 2017, the record date for the distribution. Following the ",0.0
ACGL,Arch Capital Group,Financials,Reinsurance,"Hamilton, Bermuda",2022-11-01,947484,1995,">ITEM 1. BUSINESSAs used in this report, references to “we,” “us,” “our,” “Arch” or the “Company” refer to the consolidated operations of Arch Capital Group Ltd. (“Arch Capital”) and its subsidiaries. Tabular amounts are in U.S. Dollars in thousands, except share amounts, unless otherwise noted. We refer you to Item 1A “Risk Factors” for a discussion of risk factors relating to our business.OUR COMPANYGeneralArch Capital, a Bermuda public limited liability company with $13.23 billion",0.0
ANET,Arista Networks,Information Technology,Communications Equipment,"Santa Clara, California",2018-08-28,1596532,2004,">Item 1. BusinessArista Networks pioneered software-driven, cognitive cloud networking for large-scale datacenter and campus environments. Our cloud networking solutions consist of our Extensible Operating System (""EOS""), a set of network applications and our Ethernet switching and routing platforms. Our cloud networking solutions deliver industry-leading performance, scalability, availability, programmability, automation and visibility. At the core of our cloud networking platform is EOS, which was purpose-built to be fully programmable, highly modular and reliable. The programmability of EOS has allowed us to create a set of software applications that address the requirements of cloud networking, including workflow automation, network visibility and analytics, and has also allowed us to rapidly integrate with a wide range of third-party applications for virtualization, management, automation, orchestration and network services.  Since we began shipping our products, we have grown rapidly, and, according to market research, we have achieved the second largest market share in data center Ethernet switch ports. We have been profitable and cash flow positive for each year since 2010.",0.0
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",2016-05-31,354190,1927,">Item 1. Business.  Overview  Arthur J. Gallagher & Co. and its subsidiaries, collectively referred to herein as we, our, us or Gallagher, are engaged in providing insurance brokerage, consulting, and third-party property/casualty claims settlement and administration services to businesses and organizations around the world. We believe that our major strength is our ability to deliver comprehensively structured insurance, insurance and risk management solutions, superior claim outcomes and comprehensive consulting services to our clients.  Our brokerage segment operations provide brokerage and consulting services to businesses and organizations of all types, including commercial, not-for-profit, and public entities, and, to a lesser ",0.0
AIZ,Assurant,Financials,Multi-line Insurance,"New York City, New York",2007-04-10,1267238,1892,">Item 1. BusinessAssurant, Inc. was incorporated as a Delaware corporation in 2004.We are a leading global provider of lifestyle and housing solutions that support, protect and connect major consumer purchases. We partner with leading brands to develop innovative products and services and to deliver an enhanced customer experience. We operate in North America, Latin America, Europe and Asia Pacific through three operating segments: Global Lifestyle, Global Housing and Global Preneed. Through our Global Lifestyle segment, we provide mobile device solutions and extended service products and related services for consumer electronics and appliances (referred to as “Connected Living”); vehicle protection and related services (referred to as “Global Automotive”); and credit and other insurance products (referred to as “Global Financial Services and Other”). Through our Global Housing segment, we provide lender-placed homeowners insurance, lender-placed manufactured housing insurance and lender-p",0.0
T,AT&T,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",1983-11-30,732717,1983 (1885),">ITEM 1. BUSINESS GENERAL AT&T Inc. (“AT&T,” “we” or the “Company”) is a holding company incorporated under the laws of the State of Delaware in 1983 and has its principal executive offices at 208 S. Akard St., Dallas, Texas, 75202 (telephone number 210-821-4105). We maintain an internet website at www.att.com. (This website address is for information only and is not intended to be an active link or to incorporate any website information into this document.) We file electronically with the Securities and Exchange Commission (SEC) required reports on Form 8-K, Form 10-Q and Form 10-K; proxy materials; registration statements on Forms S-3 and S-8, ",0.0
